Altium Designer Pick and Place Locations
E:\Magazyn_TachBook\My Work\INNE\VHF_Amp\Project Outputs for VHF_AMP\Pick Place\Pick Place for VHF_AMP(std).txt

========================================================================================================================
File Design Information:

Date:       21.04.24
Time:       23:57
Revision:   65cfd9052a031a2b37059474601ac16928a15239
Variant:    std
Units used: mil

Designator       Comment              Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                               
IC3              LT1963EQ#PBF         TopLayer    TO170P1394X457-6N-R900X1060    5503.937      1046.260      90       "1.5A, Fast Transient Response Adjustable LDO Regulators"                                                 
IC6              TPS7A4700RGWT        TopLayer    QFN65P500X500X100-21N-S325     5560.314      3321.398      0        "Low Noise (3uVrms), 1A, High Voltage Low-Dropout Linear Regulator"                                       
D8               PMEG6020ER           TopLayer    SODFL3517X110N                 5897.638      523.622       270      "Schottky Diode"                                                                                          
C24              10uF                 TopLayer    CAPC3225X270N                  5759.843      523.622       90       "Non-polarised capacitor"                                                                                 
C13              22uF                 TopLayer    CAPC3225X140N                  5285.433      700.787       0        "Non-polarised capacitor"                                                                                 
C12              10uF                 TopLayer    CAPC3216X140N                  2255.906      891.339       180      "Non-polarised capacitor"                                                                                 
C11              10uF                 TopLayer    CAPC3216X140N                  1814.961      1035.421      180      "Non-polarised capacitor"                                                                                 
C2               10uF                 TopLayer    CAPC3216X140N                  1165.354      944.882       270      "Non-polarised capacitor"                                                                                 
C14              22uF                 TopLayer    CAPC3225X140N                  5285.433      551.181       0        "Non-polarised capacitor"                                                                                 
C27              10uF                 TopLayer    CAPC3216X140N                  5347.716      3313.130      90       "Non-polarised capacitor"                                                                                 
C26              10uF                 TopLayer    CAPC3216X140N                  5854.331      3427.697      90       "Non-polarised capacitor"                                                                                 
C28              1uF                  TopLayer    CAPC1608X87N                   5766.732      3314.193      90       "Non-polarised capacitor"                                                                                 
C25              100nF                TopLayer    CAPC1005X55N                   5555.118      737.402       180      "Non-polarised capacitor"                                                                                 
C23              10uF                 TopLayer    CAPC3225X270N                  5610.236      523.622       90       "Non-polarised capacitor"                                                                                 
IC19             MAX1329BETL+         BottomLayer QFN50P600X600X80-41N-S425      3191.929      553.150       180      "12-/16-Bit DAS with ADC, DACs, DPIOs, APIOs, Reference, Voltage Monitors, and Temp Sensor"               
IC32             74HC4066PW           TopLayer    SOP65P640X110-14N              8047.244      1066.929      0        ""                                                                                                        
C138             22uF                 BottomLayer CAPC3216X180N                  8165.389      1659.574      180      "Non-polarised capacitor"                                                                                 
C111             Undefined            TopLayer    CAPC1608X90N                   6055.510      2437.008      180      "Non-polarised capacitor"                                                                                 
C110             100nF                BottomLayer CAPC1005X55N                   3326.772      777.559       270      "Non-polarised capacitor"                                                                                 
C109             1uF                  BottomLayer CAPC1005X55N                   3157.480      771.654       270      "Non-polarised capacitor"                                                                                 
C108             100nF                BottomLayer CAPC1005X55N                   3204.724      771.654       270      "Non-polarised capacitor"                                                                                 
C107             22uF                 BottomLayer CAPC3216X180N                  3452.756      822.835       270      "Non-polarised capacitor"                                                                                 
C103             1uF                  BottomLayer CAPC1005X55N                   2984.252      795.275       270      "Non-polarised capacitor"                                                                                 
D3               PESD3V3S4UD          TopLayer    SOT95P280X110-6N               8050.005      856.299       0        "Quad Common Anode ESD Protection Diodes (30kV)"                                                          
R155             10k                  BottomLayer RESC1005X40N                   7992.160      2076.897      270      "Resistor - 1%"                                                                                           
R154             0                    BottomLayer RESC1005X40N                   8090.586      2076.897      90       Resistor                                                                                                  
R153             10k                  TopLayer    RESC1005X40N                   7807.306      221.457       270      "Resistor - 1%"                                                                                           
R152             1k6                  BottomLayer RESC1005X40N                   7992.160      1663.511      270      "Resistor - 1%"                                                                                           
R150             1k6                  BottomLayer RESC1005X40N                   8039.404      1663.511      270      "Resistor - 1%"                                                                                           
R149             10k                  BottomLayer RESC1005X40N                   7939.011      1557.212      270      "Resistor - 1%"                                                                                           
R148             10k                  BottomLayer RESC1005X40N                   7992.160      1557.212      270      "Resistor - 1%"                                                                                           
R147             5k6                  BottomLayer RESC1005X40N                   8042.160      1557.212      270      "Resistor - 1%"                                                                                           
R146             2k7                  BottomLayer RESC1608X55N                   8141.767      1565.086      0        "Resistor - 1%"                                                                                           
R145             10k                  BottomLayer RESC1005X40N                   7939.011      1466.661      270      "Resistor - 1%"                                                                                           
R144             22                   TopLayer    RESC1005X40N                   8290.157      1066.929      0        "Resistor - 1%"                                                                                           
R143             22                   TopLayer    RESC1005X40N                   8291.339      990.157       0        "Resistor - 1%"                                                                                           
R142             22                   BottomLayer RESC1005X40N                   7858.268      327.165       270      "Resistor - 1%"                                                                                           
R141             22                   TopLayer    RESC1005X40N                   7818.898      1066.929      180      "Resistor - 1%"                                                                                           
R140             22                   TopLayer    RESC1005X40N                   7818.898      1145.669      180      "Resistor - 1%"                                                                                           
D2               BAT165               BottomLayer SOD2512X110N                   7858.268      460.630       90       "Schottky Diode"                                                                                          
C142             100nF                BottomLayer CAPC1005X55N                   7899.799      1392.843      180      "Non-polarised capacitor"                                                                                 
C141             100nF                BottomLayer CAPC1005X55N                   8177.200      1761.936      180      "Non-polarised capacitor"                                                                                 
C140             1uF                  BottomLayer CAPC1005X55N                   7921.294      2058.393      0        "Non-polarised capacitor"                                                                                 
C139             100nF                BottomLayer CAPC1005X55N                   7925.231      1679.259      0        "Non-polarised capacitor"                                                                                 
B19              "Plated Hole"        TopLayer    MTG320_550                     1094.488      3133.858      0        "Single Terminal Socket"                                                                                  
B18              "Plated Hole"        TopLayer    MTG320_550                     2150.162      1912.901      0        "Single Terminal Socket"                                                                                  
B17              "Plated Hole"        TopLayer    MTG320_550                     7145.669      208.661       0        "Single Terminal Socket"                                                                                  
B16              "Plated Hole"        TopLayer    MTG320_550                     7145.669      2042.520      0        "Single Terminal Socket"                                                                                  
B15              "Plated Hole"        TopLayer    MTG320_550                     7145.669      3724.409      0        "Single Terminal Socket"                                                                                  
R139             0                    TopLayer    RESC2012X60N                   4322.835      854.331       90       Resistor                                                                                                  
R138             50                   TopLayer    RESC1608X55N                   1039.370      381.890       0        "Resistor - 1%"                                                                                           
R136             0                    TopLayer    RESC1608X55N                   1897.638      566.929       0        Resistor                                                                                                  
R135             0                    TopLayer    RESC1608X55N                   1897.638      664.173       0        Resistor                                                                                                  
R134             36                   TopLayer    RESC1608X55N                   685.039       656.299       0        "Resistor - 1%"                                                                                           
R133             0                    TopLayer    RESC1608X55N                   2318.898      692.913       270      Resistor                                                                                                  
R132             0                    TopLayer    RESC1608X55N                   917.323       720.472       0        Resistor                                                                                                  
R131             0                    TopLayer    RESC1608X55N                   1386.614      1003.937      270      Resistor                                                                                                  
R130             0                    TopLayer    RESC1608X55N                   1315.718      1003.924      90       Resistor                                                                                                  
R129             0                    TopLayer    RESC1608X55N                   2283.465      661.417       0        Resistor                                                                                                  
TP24             "Test Point"         TopLayer    NICOMATIC_C12000B              6234.645      2832.567      0        "Test Point"                                                                                              
R97              3k3                  TopLayer    RESC1608X55N                   6423.622      2832.567      180      "Resistor - 1%"                                                                                           
TP13             "Test Point"         BottomLayer NICOMATIC_C12000B              6521.677      720.962       0        "Test Point"                                                                                              
TP7              "Test Point"         BottomLayer TPS127                         3421.850      2652.983      270      "Test Point"                                                                                              
R30              8k2                  BottomLayer RESC1608X55N                   5854.331      3299.213      90       "Resistor - 1%"                                                                                           
C34              100nF                BottomLayer CAPC1005X55N                   6058.251      3326.738      180      "Non-polarised capacitor"                                                                                 
R126             0                    TopLayer    RESC1608X55N                   5659.446      2616.482      0        Resistor                                                                                                  
R113_VHF_FWD_RFD 53R6                 TopLayer    RESC2012X60N                   1059.055      2263.780      90       "Resistor - 0.1%"                                                                                         
R112_VHF_FWD_RFD 53R6                 TopLayer    RESC2012X60N                   849.842       2266.654      90       "Resistor - 0.1%"                                                                                         
R111_VHF_FWD_RFD 787                  TopLayer    RESC2012X60N                   956.693       2303.150      0        "Resistor - 0.1%"                                                                                         
R113_VHF_REV_RFD 53R6                 TopLayer    RESC2012X60N                   979.764       2452.756      90       "Resistor - 0.1%"                                                                                         
R112_VHF_REV_RFD 53R6                 TopLayer    RESC2012X60N                   771.102       2448.819      90       "Resistor - 0.1%"                                                                                         
R111_VHF_REV_RFD 787                  TopLayer    RESC2012X60N                   877.402       2492.126      0        "Resistor - 0.1%"                                                                                         
R104             0                    TopLayer    RESC2012X60N                   4681.102      723.622       180      Resistor                                                                                                  
R103             150                  TopLayer    RESC1608X55N                   4673.228      641.732       180      "Resistor - 0.1%"                                                                                         
R102             150                  TopLayer    RESC1608X55N                   4228.346      970.472       0        "Resistor - 0.1%"                                                                                         
R101             0                    TopLayer    RESC2012X60N                   4681.102      492.126       0        Resistor                                                                                                  
R100             0                    TopLayer    RESC2012X60N                   4240.158      854.331       90       Resistor                                                                                                  
R98              50                   TopLayer    RESC1608X55N                   2244.095      535.827       90       "Resistor - 1%"                                                                                           
R96              0                    TopLayer    RESC1608X55N                   2342.520      566.929       0        Resistor                                                                                                  
R94              0                    TopLayer    RESC2012X60N                   4220.472      1405.512      90       Resistor                                                                                                  
R93              0                    TopLayer    RESC2012X60N                   4661.417      1409.449      90       Resistor                                                                                                  
R90              0                    TopLayer    RESC2012X60N                   4263.779      2086.614      180      Resistor                                                                                                  
R81              0                    TopLayer    RESC2012X60N                   4263.779      2468.504      180      Resistor                                                                                                  
LD7              Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    5204.724      2121.063      270      "LED Green 1C 2A"                                                                                         
LD6              Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    8274.606      980.314       180      "LED Green 1C 2A"                                                                                         
LD5              Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    8216.351      1091.312      180      "LED Green 1C 2A"                                                                                         
LD4              Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    7684.322      802.142       180      "LED Green 1C 2A"                                                                                         
LD2              Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    5420.081      3198.901      90       "LED Green 1C 2A"                                                                                         
LD1              Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    5533.674      3076.285      0        "LED Green 1C 2A"                                                                                         
TP23             "Test Point"         BottomLayer TPS127                         7862.205      866.142       0        "Test Point"                                                                                              
TP22             "Test Point"         BottomLayer TPS127                         7862.205      980.315       0        "Test Point"                                                                                              
TP18             "Test Point"         BottomLayer TPS127                         7510.568      783.665       180      "Test Point"                                                                                              
TP16             "Test Point"         BottomLayer TPS127                         5271.654      3374.863      180      "Test Point"                                                                                              
TP5              "Test Point"         BottomLayer TPS127                         5204.725      1866.142      0        "Test Point"                                                                                              
TP4              "Test Point"         BottomLayer TPS127                         8019.685      980.314       270      "Test Point"                                                                                              
TP3              "Test Point"         BottomLayer TPS127                         7960.433      1091.339      270      "Test Point"                                                                                              
TP1              "Test Point"         BottomLayer TPS127                         5777.370      3046.603      90       "Test Point"                                                                                              
R40              0                    TopLayer    RESC1608X55N                   1102.362      744.095       0        Resistor                                                                                                  
R48              0                    TopLayer    RESC1608X55N                   1102.362      460.630       0        Resistor                                                                                                  
R41              0                    TopLayer    RESC1608X55N                   1712.599      712.598       0        Resistor                                                                                                  
R49              0                    TopLayer    RESC1608X55N                   1712.599      511.811       0        Resistor                                                                                                  
R218             10k                  BottomLayer RESC1005X40N                   7580.397      783.639       270      "Resistor - 1%"                                                                                           
R216             3k3                  BottomLayer RESC1608X55N                   5420.081      3343.587      90       "Resistor - 1%"                                                                                           
R110             1k                   BottomLayer RESC1608X55N                   5204.725      1988.189      90       "Resistor - 1%"                                                                                           
R109             1k                   BottomLayer RESC1608X55N                   8141.732      980.315       0        "Resistor - 1%"                                                                                           
R108             1k                   BottomLayer RESC1608X55N                   8082.480      1091.339      0        "Resistor - 1%"                                                                                           
R106             3k3                  BottomLayer RESC1608X55N                   5667.545      3076.257      0        "Resistor - 1%"                                                                                           
C114             22uF                 TopLayer    CAPC3216X180N                  7562.992      2598.425      0        "Non-polarised capacitor"                                                                                 
C71              100nF                TopLayer    CAPC2012X135N                  4775.591      2169.291      180      "Non-polarised capacitor"                                                                                 
C49              100nF                TopLayer    CAPC2012X135N                  4771.654      2375.433      180      "Non-polarised capacitor"                                                                                 
C22              100nF                TopLayer    CAPC1608X87N                   8248.031      1175.197      270      "Non-polarised capacitor"                                                                                 
C21              220pF                TopLayer    CAPC1005X55N                   4490.157      1207.086      90       "Non-polarised capacitor"                                                                                 
B14              "Plated Hole"        TopLayer    MTG320_550                     429.134       2088.582      0        "Single Terminal Socket"                                                                                  
B13              "Plated Hole"        TopLayer    MTG320_550                     422.638       3435.039      0        "Single Terminal Socket"                                                                                  
B12              "Plated Hole"        TopLayer    MTG320_550                     2374.016      3724.410      0        "Single Terminal Socket"                                                                                  
B11              "Plated Hole"        TopLayer    MTG320_550                     437.008       529.527       0        "Single Terminal Socket"                                                                                  
B10              "Plated Hole"        TopLayer    MTG320_550                     3990.944      208.661       0        "Single Terminal Socket"                                                                                  
B9               "Plated Hole"        TopLayer    MTG320_550                     5023.622      208.661       0        "Single Terminal Socket"                                                                                  
B8               "Plated Hole"        TopLayer    MTG320_550                     2539.370      208.661       0        "Single Terminal Socket"                                                                                  
B7               "Plated Hole"        TopLayer    MTG320_550                     437.008       208.661       0        "Single Terminal Socket"                                                                                  
B6               "Plated Hole"        TopLayer    MTG320_550                     2535.433      1228.346      0        "Single Terminal Socket"                                                                                  
B5               "Plated Hole"        TopLayer    MTG320_550                     437.008       1228.346      0        "Single Terminal Socket"                                                                                  
B4               "Plated Hole"        TopLayer    MTG320_550                     3990.944      1801.968      0        "Single Terminal Socket"                                                                                  
B3               "Plated Hole"        TopLayer    MTG320_550                     437.008       3724.410      0        "Single Terminal Socket"                                                                                  
B2               "Plated Hole"        TopLayer    MTG320_550                     5023.622      1803.150      0        "Single Terminal Socket"                                                                                  
B1               "Plated Hole"        TopLayer    MTG320_550                     5023.622      3724.409      0        "Single Terminal Socket"                                                                                  
U1               TC649EOA             TopLayer    SOIC127P600X175-8N             8000.000      1905.512      90       "PWM Fan Speed Controller with Auto-Shutdown and FanSense Technology, 8-Pin SOIC, Industrial Temperature" 
